"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -6.944562371,      -5.386926804,      -16.61938429,      -4.409408482,      -1.468391805
          0,           0,           1,      -6.921723259,      -4.786158186,      -4.593141858,      -4.674283629,       -1.44516796
          0,           0,           2,      -6.943728752,       -4.72896476,      -4.777135116,      -4.870161592,      -1.469461412
          0,           0,           3,       -7.00107595,      -4.791211738,      -4.912294673,      -4.959611742,      -1.526197345
          0,           0,           4,      -7.068156188,      -4.857613017,      -4.970935984,      -4.992060569,      -1.593987674
          0,           0,           5,      -7.108209814,       -4.90587632,      -5.034717696,      -5.015314023,      -1.633513218
          0,           0,           6,      -7.145671713,      -4.948992505,      -5.045159159,      -5.067739161,      -1.670115435
          0,           0,           7,      -7.180424232,      -4.980895958,      -5.070943846,      -5.089725823,      -1.704543339
          0,           0,           8,      -7.209927662,      -5.012305546,      -5.094614481,      -5.105014675,      -1.733912931
          0,           0,           9,      -7.233296391,      -5.040576989,      -5.113825646,      -5.129701153,      -1.757325124
          0,           0,          10,      -7.251975243,      -5.063285997,      -5.135251746,      -5.144551121,      -1.775980386
          0,           0,          11,      -7.269887128,      -5.083562334,      -5.153336782,       -5.15492066,       -1.79382267
          0,           0,          12,      -7.286174236,      -5.101366059,      -5.172771209,      -5.164157693,      -1.810163223
          0,           0,          13,      -7.297419854,      -5.118416575,      -5.194726562,      -5.171302795,       -1.82151954
          0,           0,          14,      -7.302010336,      -5.135550134,      -5.216099928,      -5.180033483,      -1.826276388
          0,           0,          15,      -7.301644806,      -5.152072105,      -5.235516277,      -5.192638095,      -1.826153604
          0,           0,          16,      -7.300647562,      -5.169382227,      -5.251140185,      -5.207025209,      -1.825399448
          0,           0,          17,      -7.303829874,      -5.188572812,       -5.26090107,       -5.21986523,      -1.828789354
          0,           0,          18,      -7.313698582,      -5.209299767,      -5.264606849,      -5.227867244,      -1.838843492
          0,           0,          19,      -7.329304026,      -5.230474875,      -5.263822231,      -5.229680436,      -1.854616842
          0,           0,          20,      -7.346901581,      -5.250077034,       -5.26138483,      -5.227157578,      -1.872360282
          0,           0,          21,      -7.361936961,      -5.266133384,      -5.260278385,      -5.223532397,      -1.887507018
          0,           0,          22,      -7.371912303,      -5.278306976,      -5.262265731,      -5.221179635,      -1.897539549
          0,           0,          23,      -7.377954142,      -5.288004456,        -5.2675417,      -5.220871977,      -1.903577951
          0,           0,          24,      -7.383395254,      -5.297236718,      -5.275246912,      -5.222175871,      -1.908973064
          0,           0,          25,      -7.391185645,      -5.307493779,      -5.284357933,      -5.224344711,      -1.916707897
          0,           0,          26,      -7.402605278,       -5.31932302,      -5.294516267,      -5.227138719,      -1.928091804
          0,           0,          27,      -7.417646114,      -5.332716615,      -5.306150457,      -5.231006509,      -1.943130791
          0,           0,          28,      -7.436019375,       -5.34736617,       -5.32014648,      -5.237059331,      -1.961534911
          0,           0,          29,      -7.457837176,      -5.362728433,      -5.337239302,      -5.246600036,      -1.983416133
          0,           0,          30,       -7.48377487,      -5.378171521,      -5.358155371,      -5.259963965,      -2.009460353
          0,           0,          31,      -7.515284598,      -5.393454883,      -5.383906881,      -5.275810957,       -2.04113716
          0,           0,          32,      -7.555064369,      -5.408924773,      -5.416529611,      -5.291189943,      -2.081164981
          0,           0,          33,      -7.607013878,      -5.424652684,      -5.459064021,      -5.301421624,      -2.133462994
          0,           0,          34,      -7.675445321,      -5.439093353,      -5.514207003,      -5.300892793,      -2.202342536
