"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6087280772,       1.549372059,      0.6820032947,       4.853800455
          0,           0,           1,     -0.9728751557,       1.744060905,       0.882238167,       4.489861153
          0,           0,           2,      -1.621522547,       1.088316997,      0.2246588204,       3.840386722
          0,           0,           3,       -2.26483532,      0.4326601072,     -0.4325582316,       3.196302333
          0,           0,           4,      -2.898990282,     -0.2228868622,       -1.08930961,       2.561447552
          0,           0,           5,      -3.518659014,     -0.8782888305,      -1.745450587,       1.941157915
          0,           0,           6,      -4.118195768,      -1.533496149,      -2.400782326,       1.341060147
          0,           0,           7,      -4.694262356,      -2.188439586,      -3.055033407,      0.7644440863
          0,           0,           8,      -5.247952507,      -2.843022971,      -3.707835423,      0.2101672229
          0,           0,           9,      -5.784033176,      -3.497112961,      -4.358692076,     -0.3265539448
          0,           0,          10,      -6.308212913,      -4.150525152,      -5.006941828,     -0.8514052056
          0,           0,          11,      -6.825118522,      -4.803005215,      -5.651715948,      -1.368875665
          0,           0,          12,      -7.337804163,      -5.454204312,      -6.291897568,      -1.880769461
          0,           0,          13,      -7.848071138,      -6.103646896,      -6.926093906,      -2.376531609
          0,           0,          14,      -8.356924372,      -6.750692847,      -7.552647028,      -2.770008617
